(.venv) Efrans-MacBook-Air:Neural-Network-from-scratch efran$ /Users/efran/Downloads/Neural-Network-from-scratch/.venv/bin/python /Users/efran/Downloads/Neural-Network-from-scratch/train_exp/AE_experiments.py
Dataset=fashion  |  train=torch.Size([54000, 784])  val=torch.Size([6000, 784])  test=torch.Size([10000, 784])

=== Config 1/2: {'enc_dims': [256, 128], 'dec_dims': [256], 'bn': True, 'bn_where': 'both', 'init': 'he', 'act': 'relu', 'out_act': 'linear', 'loss': 'mse', 'lr': 0.003, 'batch': 128} ===
[1:01] train_recon=1.0897  val_recon=1.0041
[1:02] train_recon=0.9179  val_recon=0.8557
[1:03] train_recon=0.7907  val_recon=0.7461
[1:04] train_recon=0.6913  val_recon=0.6566
[1:05] train_recon=0.6117  val_recon=0.5900
[1:06] train_recon=0.5467  val_recon=0.5255
[1:07] train_recon=0.4929  val_recon=0.4719
[1:08] train_recon=0.4475  val_recon=0.4291
[1:09] train_recon=0.4088  val_recon=0.3889
[1:10] train_recon=0.3753  val_recon=0.3586
[1:11] train_recon=0.3461  val_recon=0.3359
[1:12] train_recon=0.3212  val_recon=0.3116
[1:13] train_recon=0.2987  val_recon=0.2910
[1:14] train_recon=0.2790  val_recon=0.2712
[1:15] train_recon=0.2615  val_recon=0.2553
[1:16] train_recon=0.2459  val_recon=0.2347
[1:17] train_recon=0.2322  val_recon=0.2259
[1:18] train_recon=0.2198  val_recon=0.2104
[1:19] train_recon=0.2087  val_recon=0.2019
[1:20] train_recon=0.1985  val_recon=0.1921
[1:21] train_recon=0.1891  val_recon=0.1833
[1:22] train_recon=0.1810  val_recon=0.1754
[1:23] train_recon=0.1732  val_recon=0.1673
[1:24] train_recon=0.1663  val_recon=0.1612
[1:25] train_recon=0.1600  val_recon=0.1549
[1:26] train_recon=0.1542  val_recon=0.1488
[1:27] train_recon=0.1489  val_recon=0.1436
[1:28] train_recon=0.1439  val_recon=0.1401
[1:29] train_recon=0.1393  val_recon=0.1353
[1:30] train_recon=0.1350  val_recon=0.1313
[1:31] train_recon=0.1312  val_recon=0.1287
[1:32] train_recon=0.1277  val_recon=0.1238
[1:33] train_recon=0.1241  val_recon=0.1190
[1:34] train_recon=0.1214  val_recon=0.1183
[1:35] train_recon=0.1182  val_recon=0.1143
[1:36] train_recon=0.1155  val_recon=0.1106
[1:37] train_recon=0.1129  val_recon=0.1100
[1:38] train_recon=0.1107  val_recon=0.1074
[1:39] train_recon=0.1083  val_recon=0.1050
[1:40] train_recon=0.1061  val_recon=0.1021
[1:41] train_recon=0.1042  val_recon=0.1010
[1:42] train_recon=0.1023  val_recon=0.0986
[1:43] train_recon=0.1003  val_recon=0.0970
[1:44] train_recon=0.0988  val_recon=0.0956
[1:45] train_recon=0.0973  val_recon=0.0947
[1:46] train_recon=0.0956  val_recon=0.0931
[1:47] train_recon=0.0942  val_recon=0.0908
[1:48] train_recon=0.0929  val_recon=0.0892
[1:49] train_recon=0.0914  val_recon=0.0885
[1:50] train_recon=0.0903  val_recon=0.0876
[1:51] train_recon=0.0891  val_recon=0.0862
[1:52] train_recon=0.0880  val_recon=0.0858
[1:53] train_recon=0.0868  val_recon=0.0844
[1:54] train_recon=0.0858  val_recon=0.0828
[1:55] train_recon=0.0849  val_recon=0.0820
[1:56] train_recon=0.0840  val_recon=0.0817
[1:57] train_recon=0.0830  val_recon=0.0808
[1:58] train_recon=0.0822  val_recon=0.0798
[1:59] train_recon=0.0812  val_recon=0.0786
[1:60] train_recon=0.0805  val_recon=0.0777
